client_id,horizon,MSE,MAE,RMSE,train_time_sec,inference_time_sec,model,exog_setting,uses_future_exog,future_exog_strategy,arima_order,seasonal_order,train_window_rows
313,24,17411308939.8983,98916.0736,131951.919,9.25,0.0084,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(1, 1, 1)","(0, 0, 0, 0)",2000
313,48,17464052145.9352,97435.0216,132151.6256,9.25,0.0027,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(1, 1, 1)","(0, 0, 0, 0)",2000
313,168,18034296282.639,107957.0028,134291.8325,9.25,0.0053,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(1, 1, 1)","(0, 0, 0, 0)",2000
155,24,180624776.8308,10484.3596,13439.6718,25.52,0.0043,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(5, 1, 2)","(0, 0, 0, 0)",2000
155,48,205619465.4152,11740.7614,14339.4374,25.52,0.0044,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(5, 1, 2)","(0, 0, 0, 0)",2000
155,168,421004023.4319,17333.9487,20518.3826,25.52,0.0075,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(5, 1, 2)","(0, 0, 0, 0)",2000
236,24,14529176.5461,3135.7663,3811.7157,8.26,0.0026,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(3, 0, 2)","(0, 0, 0, 0)",2000
236,48,24228225.4419,3991.5241,4922.2175,8.26,0.0027,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(3, 0, 2)","(0, 0, 0, 0)",2000
236,168,65746562.6528,7081.7829,8108.4254,8.26,0.0054,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(3, 0, 2)","(0, 0, 0, 0)",2000
167,24,19362890.7954,3535.2182,4400.3285,21.85,0.0026,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(5, 0, 4)","(0, 0, 0, 0)",2000
167,48,21519675.9916,3926.5683,4638.9305,21.85,0.0027,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(5, 0, 4)","(0, 0, 0, 0)",2000
167,168,29473244.3147,4861.6472,5428.9266,21.85,0.0056,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(5, 0, 4)","(0, 0, 0, 0)",2000
186,24,108579975.5318,7148.3009,10420.1716,54.52,0.0027,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(3, 1, 5)","(0, 0, 0, 0)",2000
186,48,96199148.7405,6635.6612,9808.1165,54.52,0.0028,arima_load_only,load_only_statistical_baseline,False,not_applicable_load_only,"(3, 1, 5)","(0, 0, 0, 0)",2000
